,lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
0,Babelan,Bekasi,470000000,2,1,72,48,no,no,no,no,no
1,Babelan,Bekasi,580000000,2,1,72,50,yes,no,no,no,no
2,Babelan,Bekasi,490000000,2,1,60,55,yes,no,no,no,no
3,Babelan,Bekasi,700000000,2,1,107,55,yes,no,no,no,no
4,Babelan,Bekasi,650000000,2,1,101,57,yes,no,no,no,no
5,Babelan,Bekasi,650000000,2,1,101,57,yes,no,no,no,no
6,Babelan,Bekasi,1200000000,3,2,90,66,no,no,yes,yes,no
7,Babelan,Bekasi,230000000,2,1,60,36,no,no,yes,no,no
8,Babelan,Bekasi,350000000,2,1,60,45,no,no,no,no,no
9,Babelan,Bekasi,470000000,2,1,72,48,no,no,no,no,no
10,Babelan,Bekasi,950000000,3,1,102,66,no,no,no,no,no
11,Bekasi Barat,Bekasi,1620000000,3,3,90,75,yes,no,no,no,no
12,Bekasi Barat,Bekasi,746000000,3,3,151,138,no,no,no,no,no
13,Bekasi Barat,Bekasi,1550000000,6,3,152,315,no,no,no,no,no
14,Bekasi Barat,Bekasi,2000000000,1,1,229,220,yes,no,no,no,no
15,Bekasi Barat,Bekasi,2300000000,4,3,270,330,no,no,no,no,no
16,Bekasi Barat,Bekasi,1660000000,4,4,108,156,no,no,no,no,no
17,Bekasi Barat,Bekasi,900000000,3,2,198,100,no,no,no,no,no
18,Bekasi Barat,Bekasi,4750000000,5,3,188,300,no,no,yes,no,no
19,Bekasi Barat,Bekasi,1200000000,3,1,103,102,no,no,yes,no,no
20,Bekasi Barat,Bekasi,870000000,3,2,96,83,yes,no,no,no,no
21,Bekasi Barat,Bekasi,5100000000,3,2,600,300,no,no,yes,no,no
22,Bekasi Barat,Bekasi,970000000,3,2,90,175,yes,no,no,no,no
23,Bekasi Barat,Bekasi,900000000,2,1,80,50,no,no,yes,no,no
24,Bekasi Barat,Bekasi,1750000000,2,2,149,101,no,no,yes,no,no
25,Bekasi Barat,Bekasi,1050000000,3,2,144,75,no,no,no,no,no
26,Bekasi Barat,Bekasi,1000000000,2,2,55,54,yes,no,no,no,no
27,Bekasi Barat,Bekasi,3400000000,3,4,278,183,no,no,yes,no,no
28,Bekasi Barat,Bekasi,3500000000,3,3,200,275,no,no,yes,no,no
29,Bekasi Barat,Bekasi,910000000,4,2,105,78,no,no,no,no,no
30,Bekasi Barat,Bekasi,1130000000,3,1,112,112,no,no,no,no,no
31,Bekasi Barat,Bekasi,1100000000,2,1,143,55,yes,no,no,no,no
32,Bekasi Barat,Bekasi,560000000,2,2,60,100,no,no,no,no,no
33,Bekasi Barat,Bekasi,1180000000,3,1,108,90,yes,no,no,no,no
34,Bekasi Barat,Bekasi,1350000000,3,2,126,126,no,no,no,no,no
35,Bekasi Barat,Bekasi,2270000000,5,3,144,158,yes,no,no,yes,no
36,Bekasi Barat,Bekasi,900000000,3,2,90,70,yes,no,yes,no,no
37,Bekasi Barat,Bekasi,1020000000,2,2,105,75,yes,no,no,no,no
38,Bekasi Barat,Bekasi,1720000000,3,3,108,160,yes,no,no,no,no
39,Bekasi Barat,Bekasi,1930000000,4,2,120,200,yes,no,no,no,no
40,Bekasi Barat,Bekasi,6000000000,6,3,300,450,no,no,no,yes,no
41,Bekasi Barat,Bekasi,1300000000,2,2,126,55,yes,no,no,no,no
42,Bekasi Barat,Bekasi,810000000,3,1,60,100,no,no,no,no,no
43,Bekasi Barat,Bekasi,1690000000,2,1,160,160,no,no,no,no,no
44,Bekasi Barat,Bekasi,1040000000,3,2,55,93,no,no,no,no,no
45,Bekasi Barat,Bekasi,540000000,2,1,72,54,no,no,no,no,no
46,Bekasi Barat,Bekasi,700000000,2,1,107,55,no,no,no,no,no
47,Bekasi Barat,Bekasi,1560000000,3,3,90,150,yes,no,no,no,no
48,Bekasi Barat,Bekasi,2120000000,3,3,108,69,no,no,yes,no,no
49,Bekasi Barat,Bekasi,957000000,3,2,72,108,no,no,no,no,no
50,Bekasi Barat,Bekasi,1020000000,3,2,90,69,yes,no,no,no,no
51,Bekasi Barat,Bekasi,1290000000,5,4,100,230,no,no,no,no,no
52,Bekasi Barat,Bekasi,1160000000,2,2,97,75,yes,no,no,no,no
53,Bekasi Barat,Bekasi,680000000,2,1,60,50,yes,no,no,no,no
54,Bekasi Barat,Bekasi,1350000000,5,2,234,120,no,no,no,no,no
55,Bekasi Barat,Bekasi,2600000000,3,2,88,130,yes,no,no,no,no
56,Bekasi Barat,Bekasi,1550000000,3,2,74,111,yes,no,yes,no,no
57,Bekasi Barat,Bekasi,5000000000,4,2,300,350,no,no,no,no,no
58,Bekasi Barat,Bekasi,1290000000,3,2,126,100,no,no,no,no,no
59,Bekasi Barat,Bekasi,1250000000,2,2,108,69,no,no,no,no,no
60,Bekasi Barat,Bekasi,1500000000,3,3,90,150,yes,no,no,no,no
61,Bekasi Barat,Bekasi,1610000000,5,3,160,100,no,no,no,no,no
62,Bekasi Barat,Bekasi,2310000000,3,4,110,120,no,no,no,no,no
63,Bekasi Barat,Bekasi,650000000,2,1,90,60,no,no,no,no,no
64,Bekasi Barat,Bekasi,1600000000,2,2,90,53,no,no,no,no,no
65,Bekasi Barat,Bekasi,1130000000,2,1,90,80,yes,no,no,no,no
66,Bekasi Barat,Bekasi,2890000000,4,3,238,180,yes,no,no,no,no
67,Bekasi Barat,Bekasi,824000000,3,1,72,48,yes,no,no,no,no
