lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
Joglo,Jakarta Barat,2000000000,3.0,2.0,72,90,yes,no,yes,no,no
Cempaka Putih,Jakarta Pusat,1130000000,2.0,2.0,30,58,no,no,yes,no,no
Kelapa Gading,Jakarta Utara,1040000000,2.0,2.0,55,54,no,no,yes,no,no
Daan Mogot,Jakarta Barat,3950000000,4.0,2.0,120,135,no,no,yes,no,no
Jagakarsa,Jakarta Selatan,2500000000,5.0,6.0,83,200,yes,no,no,no,no
Meruya,Jakarta Barat,2250000000,3.0,2.0,125,150,yes,no,no,no,yes
Cilandak,Jakarta Selatan,4700000000,3.0,3.0,144,165,yes,no,no,no,no
Pondok Labu,Jakarta Selatan,958000000,2.0,2.0,39,72,yes,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,4200000000,3.0,3.0,120,144,no,no,no,yes,no
Pulo Gadung,Jakarta Timur,1000000000,3.0,3.0,44,68,no,no,no,no,yes
Jagakarsa,Jakarta Selatan,1700000000,3.0,3.0,114,130,yes,no,no,no,no
Jagakarsa,Jakarta Selatan,1850000000,4.0,4.0,126,150,yes,no,no,no,no
Cengkareng,Jakarta Barat,2300000000,3.0,3.0,119,120,no,no,no,no,no
Cengkareng,Jakarta Barat,2300000000,3.0,3.0,119,120,no,no,no,no,no
Cengkareng,Jakarta Barat,3550000000,3.0,2.0,108,195,yes,no,no,no,no
Taman Kencana,Jakarta Barat,2700000000,4.0,3.0,120,180,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,4150000000,3.0,3.0,120,125,yes,no,yes,no,no
Cibubur,Jakarta Timur,950000000,3.0,2.0,105,78,no,no,no,no,no
Green Lake City,Jakarta Barat,2950000000,3.0,3.0,144,147,no,no,yes,no,no
Cempaka Putih,Jakarta Pusat,2370000000,3.0,3.0,53,94,no,no,yes,no,yes
Pulo Gadung,Jakarta Timur,1000000000,2.0,3.0,44,68,no,no,no,no,yes
Pantai Indah Kapuk,Jakarta Utara,1600000000,2.0,1.0,60,79,yes,no,no,no,yes
Cakung,Jakarta Timur,1000000000,3.0,3.0,73,73,yes,no,no,no,yes
Pantai Indah Kapuk,Jakarta Utara,5200000000,4.0,3.0,120,163,yes,no,no,no,no
Jatinegara,Jakarta Timur,735000000,2.0,2.0,32,62,no,no,no,no,yes
Pantai Indah Kapuk,Jakarta Utara,4000000000,3.0,3.0,120,130,no,no,no,no,yes
Pantai Indah Kapuk,Jakarta Utara,3100000000,3.0,3.0,90,120,no,no,no,yes,no
Pantai Indah Kapuk,Jakarta Utara,2350000000,3.0,3.0,75,100,no,no,no,no,yes
Kayu Putih,Jakarta Timur,2400000000,3.0,3.0,53,94,yes,no,no,no,yes
Taman Palem,Jakarta Barat,3000000000,3.0,3.0,120,180,no,no,no,no,no
Cempaka Putih,Jakarta Pusat,1740000000,3.0,3.0,86,86,no,no,no,no,yes
Roxy,Jakarta Pusat,3800000000,3.0,1.0,144,110,yes,no,no,no,no
Tanjung Duren,Jakarta Barat,2550000000,3.0,3.0,60,185,no,no,no,no,no
Pondok Labu,Jakarta Selatan,870000000,2.0,2.0,35,68,no,no,no,no,no
Duri Kepa,Jakarta Barat,1890000000,3.0,3.0,63,180,no,no,yes,no,no
Cengkareng,Jakarta Barat,2200000000,4.0,4.0,157,168,no,no,no,no,no
Green Lake City,Jakarta Barat,1450000000,2.0,2.0,60,90,no,no,yes,no,no
Green Lake City,Jakarta Barat,2100000000,3.0,3.0,90,100,no,yes,yes,no,no
Cilangkap,Jakarta Timur,765000000,3.0,2.0,53,65,no,no,yes,no,yes
Matraman,Jakarta Timur,828000000,3.0,3.0,30,58,no,no,no,no,yes
Jagakarsa,Jakarta Selatan,2100000000,3.0,2.0,179,160,yes,no,no,no,no
Jagakarsa,Jakarta Selatan,2100000000,3.0,2.0,179,160,yes,no,no,no,no
Green Lake City,Jakarta Barat,3000000000,3.0,3.0,144,150,yes,no,no,no,no
Cipinang,Jakarta Timur,2350000000,2.0,2.0,76,90,no,no,no,no,yes
Cempaka Putih,Jakarta Pusat,1360000000,2.0,2.0,39,58,no,no,no,no,yes
Rawamangun,Jakarta Timur,1320000000,3.0,3.0,48,67,no,no,yes,no,yes
Pantai Indah Kapuk,Jakarta Utara,4100000000,3.0,3.0,120,142,no,no,yes,no,no
Jagakarsa,Jakarta Selatan,2300000000,3.0,4.0,125,176,no,no,no,no,yes
Cipinang,Jakarta Timur,710000000,2.0,2.0,35,68,yes,no,no,no,no
Cibubur,Jakarta Timur,1400000000,3.0,3.0,75,78,yes,no,no,no,no
Rawamangun,Jakarta Timur,2600000000,3.0,3.0,90,135,no,no,yes,no,yes
Duri Kepa,Jakarta Barat,1190000000,3.0,2.0,45,100,no,no,yes,no,no
Duri Kepa,Jakarta Barat,1190000000,3.0,2.0,45,100,no,no,yes,no,no
Duri Kosambi,Jakarta Barat,1540000000,3.0,2.0,90,100,no,no,yes,no,no
Jagakarsa,Jakarta Selatan,1350000000,3.0,3.0,61,100,yes,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,2270000000,3.0,2.0,80,100,no,no,no,no,no
Cakung,Jakarta Timur,1000000000,2.0,3.0,44,68,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,2700000000,3.0,3.0,90,150,no,no,yes,no,no
Puri Mansion,Jakarta Barat,3750000000,3.0,3.0,120,180,no,no,yes,no,no
Duren Sawit,Jakarta Timur,718000000,2.0,2.0,31,61,no,no,no,no,yes
Cempaka Putih,Jakarta Pusat,1300000000,3.0,3.0,39,58,yes,no,no,no,yes
Cempaka Putih,Jakarta Pusat,2400000000,4.0,3.0,53,94,yes,no,no,no,no
Bambu Apus,Jakarta Timur,925000000,3.0,2.0,65,100,yes,no,no,no,no
Bambu Apus,Jakarta Timur,925000000,3.0,2.0,65,100,yes,no,no,no,no
Permata Buana,Jakarta Barat,5000000000,3.0,3.0,144,136,yes,no,no,no,no
Jagakarsa,Jakarta Selatan,2500000000,4.0,3.0,125,137,no,no,no,no,no
Cakung,Jakarta Timur,1750000000,3.0,2.0,102,75,no,no,yes,no,no
Cengkareng,Jakarta Barat,3550000000,3.0,2.0,108,190,no,no,no,no,no
Pantai Indah Kapuk 2,Jakarta Utara,1750000000,2.0,2.0,60,79,no,no,yes,no,no
Pantai Indah Kapuk,Jakarta Utara,4600000000,2.0,2.0,90,145,no,no,no,no,no
